,msg_id,user_id,channel_id,thread_ts,text,reaction_num,top
0,e678e45d-b0c5-41ad-9f9f-850c878fb3eb,U03LKKD1F52,C03LC9SRN0J,1671702843.381479,"全体通知失礼いたします*<!channel>*
本日も18～21時に もくもく会です",5,True
1,c47e6003-de2c-436b-aaef-b445c5f327e9,U03SJ0KCW9F,C03LC9SRN0J,1671702843.381479,今日は人が少ないので、リューキさん使い放題です！(笑),2,False
2,9d2387bc-22cb-452b-a85e-383a0b60aa6f,U03R4H93QJ2,C03LC9SRN0J,1671702843.381479,"<@U03LKKD1F52>
質問あります！",1,False
3,ef2f5afa-4310-4473-8829-aa358102eca6,U04272FBY1K,C03LC9SRN0J,1671702843.381479,"あー
今週は忘年会詰めで参加できないー:scream: 
週末頑張ります！！",2,False
4,915c31b6-785a-47bb-8d89-585bf3cfea4f,U03LH5W786P,C03LC9SRN0J,1671686748.305479,<!channel> こちら恥ずかしすぎてやばいのです、、、が、みなさま、本当にお手数をおかけするのですが、Progateさんにお世話になった方は、Noteの♡を押してあげていただきたいです＞＜,28,True
5,8bdae922-84af-46df-8ed7-0fbb40ece414,U03LQV6N6UR,C03LC9SRN0J,1671685476.308409,"<!channel>
Progate様にTech0を取材頂いた記事が出ましたので共有させていただきます！
<https://note.com/progate/n/n6c4b27776bab>

（Newspicksの記事も年明けに出る予定ですので、それも記事化され次第ご共有させて下さい！）",67,True
6,a1f32354-7976-4660-93f1-3f651a87b3c0,U03LKKD1F52,C03LC9SRN0J,1671442765.008499,"全体通知失礼いたします*<!channel>*
本日も18～21時に もくもく会です",5,True
7,c52900aa-acbf-406b-8bc8-3ae482a97304,U03LH5W786P,C03LHANDQ6N,1671630033.482799,"<@U03MW2N3HUL> <@U03LYA8JAT1> <@U03LEL6TQP9> <@U03LV6T1F6F> <@U03M7TQGAAV> <@U03LEL7AQT1> 　cc <@U03RHKFCQAW>
今日の宿題であるサービスブループリントの個人ワークですー！
作っていただいたカスタマージャーニーをもとにサービスブループリントを次回まで作成お願いしますー！
(違うカスタマージャーニーをもとに作るのもOKとします！！）",2,True
8,fa5234fe-b212-41bc-a5b2-f3e9eae76907,U03VD2WKY48,C03M78E4U3A,1671876241.140559,"<!channel>
GitHub flowのハンズオン動画を共有します
GitとかGitHubなんじゃーって人、是非見てみてください！
(2倍速くらいで見るといいです)
<https://vimeo.com/manage/videos/783225572|https://vimeo.com/manage/videos/783225572>",17,True
9,7b6046db-a2d7-4b92-be24-4e52a191d57e,U03LH5W786P,C03M78E4U3A,1671673306.194049,"■3期の内部から出た起業アイデア議論１
起業考えている人は参考なるかも",1,True
10,1a272981-6fe2-4f0f-adb4-e87d04b94b95,U03LH5W786P,C03M78E4U3A,1671673306.194049,"<@U04285AQLAY> さん、
先日、出していただいたフェルミ推定のアプリ化ですが
大きなフロートしては
• 問題の回収
• 問題をDB化
• 回答作り
• 回答の点数の基準化
• スコアリング
できれば良くて、細かい点では
• 問題はlineアプリなどを通して回収
• 回答は現在のビッグ４とかに頼む
• 回答の点数をこれまたビッグ４に依頼する
• ユーザーの接点の設計
なんてことをすれば、プロトタイプで100個くらいの問題作るだけなら、本気で取り組めば2週間とかで作成できると思います。

方向性あってたらフロー図、アーキテクチャ図つくりましょう！

cc <@U03VD2WKY48> <@U03R4H93QJ2> <@U03LKKE6N5S> <@U03RHKFCQAW> <@U03LKKD1F52> <@U03M7TQGAAV> <@U03LEL6TQP9>",7,False
11,62a0186b-e5a7-4cd6-bedc-f9e61ed71998,U03R4H93QJ2,C03M78E4U3A,1671673306.194049,"追加でほしいもの
・フェルミ推定のフローを体験するためのチュートリアル",1,False
12,93a606c7-7335-4adf-898a-07bbe16ba273,U03LH5W786P,C03M78E4U3A,1671673306.194049,<@U04236D59DH>,0,False
13,0a994e85-5cfa-4b20-8f7b-4fd18e1bb28d,U04285AQLAY,C03M78E4U3A,1671673306.194049,"<@U03LH5W786P> さん、
早速ありがとうございます！
1言うと10返ってきて皆様の頭のキレ具合と熱量に圧倒されました！笑　Tech0すごいです！！
面白くなりそうなので、ひとまずスタートアップっぽくリーンキャンバス作ってみました！コメントいただけますと幸いです！
回答の入力方法などもイメージ作ってみます。
まだ自信ないですが、フロー図、アーキテクチャ図も取り組んでみます！
<https://docs.google.com/presentation/d/1La7Dd3DMfgZK3pufdRJhzfPh3xG4B-Z7/edit?usp=sharing&amp;ouid=109566081891873322713&amp;rtpof=true&amp;sd=true>",1,False
14,2FEC598B-F921-4B28-A961-407989C12577,U04236D59DH,C03M78E4U3A,1671673306.194049,"<@U04285AQLAY> 
濱田さんからお聞きし、さくっとリーンキャンバスモデル拝見しましたが、面白いですね！

私も一応現役コンサルでして
・以前、趣味の延長でココナラでコンサルケース面接対策の販売やりましたけど、1回7,000-10,000円でも週2-3本発注きたのでニーズあると思います！
・今いまは正式に中途/新卒両方のケース面接官もやっておりますので、必要な情報あればご提供できます！(つい20分前までもケース面接官やってましたw)
・競合は、①対話形式:ココナラ、②自問形式:書籍ってなりそうですね。アプリで自主練して、お金払えば専門家とZoom1hで模擬できますとかも良いかもです。
ココナラは1万円で販売して手数料15パーセント程度とられるみたいな感じだったので、ざっくり1件1,500円くらいは中抜きできるイメージになるかと思います",1,False
15,D8A97EA6-942F-4EEC-87EB-4BD063ABDDDC,U04285AQLAY,C03M78E4U3A,1671673306.194049,"<@U04236D59DH> さん、
コメントありがとうございます！
現役コンサル面接官が身近にいて心強いです！
クラウドソーシング系は盲点でした:sweat_drops:
仰るように現役コンサルと繋がるプラットフォームとして機能させても面白そうですね！
コンサル側も副業になるし、ユーザーへの信頼性も高まるからWin-Win-Winですね！",0,False
16,50CCC5F1-E893-4B09-9BDA-447CA9FFFDEF,U03SVG1NEQG,C03M78E4U3A,1671673306.194049,"<@U04285AQLAY> さん、ごぶさたですー。
このアイデア、流石ですね！
私も現役コンサルの端くれとして1点だけです。

フェルミ推定って、結果としての数字の正誤より、その途中のプロセスとしての論理的な筋の良さ、の方を面接官は見ているので、その辺りも訴求できるととても良いなーと思いましたです！",1,False
17,82F944D2-05BD-4EF3-8525-D0DA2130DC61,U04285AQLAY,C03M78E4U3A,1671673306.194049,"<@U03SVG1NEQG> さん、まさかももさんからこの場でコメント頂けるとは！笑
ありがとうございます！
正誤は幅を持たせて、その範囲内収まっていれば正解にすれば良いかなと思ってます！

仰る通りのプロセスの記入方法に工夫が必要です！
以下で対応できないかなと思ってます！
•セレクトボックス式でロジックの構成要素を選択式にする
•選んだ要素に対応する数字は記入式にする

例えば「日本全国に電柱は何本あるか？」というお題に対して

①セレクトボックスに以下格納
•電柱の総本数
•市街地の本数
•郊外の本数
•日本の総面積
•市街地率
•郊外比率
•1km平方あたり本数
•その他関係ない項目を入れる

②セレクトボックスの横に数字記入のボックスを置き、ボックス毎に計算方法を指定できるようにする

上記の順番で計算した結果が解答の範囲内に収まっていればお題クリア
",1,False
